Word,Type,Sentiment
bof,n,++
boffer,n,++
bofkont,n,++
bokkig,a,--
boksring,n,-
bolle,n,--
bollebof,n,-
bollie,n,-
bolsjewiek,n,--
bolsjewisme,n,-
bolsjewist,n,-
bom,n,--
bombardement,n,-
bombarderen,v,-
bombarie,n,--
bon-vivant,n,+
bondage,n,-
bondgenoot,n,+
bonje,n,--
bons,n,-
bonus,n,++
boos,a,--
boosaardig,a,--
boosdoener,n,--
boosheid,n,-
booswicht,n,--
bordenwasser,n,-
boring,n,--
borrelen,v,+
bosgodin,n,+
bot,n,-
botsen,v,--
botsing,n,-
botterik,n,--
bourgeois,n,-
bouwvallig,a,--
bovenmatig,a,++
boycot,n,--
braaksel,n,-
brabbelen,v,-
brak,n,--
branden,v,-
brandhout,n,-
branie,n,+
branieschopper,n,--
breed,a,+
breedbekkikker,n,-
breidelloos,a,--
briljant,n,++
broederlijkheid,n,+
brombeer,n,--
brompot,n,--
broos,n,+
bros,n,-
brouwen,v,-
bruinhemd,n,--
bruisend,a,++
brullen,v,--
brutaal,a,-
brutaliteit,n,--
bruut,a,--
bruut,n,--
bug,n,-
buigen,v,-
buikgriep,n,-
buit,n,+
buitenbeentje,n,--
buitenechtelijk,a,--
buitengewoon,a,+
buitenissig,a,--
buitenkansje,n,++
buitensporig,a,--
bullshit,n,--
burgo,n,-
capabel,a,++
capitulatie,n,-
capituleren,v,-
casseren,v,-
catastrofaal,a,--
catastrofe,n,--
cellulitis,n,-
censor,n,-
chagrijn,n,--
chantage,n,--
chaos,n,--
chaotisch,a,--
charisma,n,++
charme,n,++
chic,n,+
chick,n,+
chloorzuur,n,-
circusvertoning,n,-
claim,n,-
clash,n,-
cliche,n,--
clochard,n,--
clown,n,+
clownerie,n,-
coherent,a,+
coherentie,n,+
cohesie,n,+
comeback,n,+
comfort,n,++
comfortabel,a,++
committent,n,+
commotie,n,-
compact,a,+
compagnon,n,+
compenseren,v,-
competent,a,++
competentie,n,+
compleet,a,+
complex,n,-
complicatie,n,--
compliceren,v,--
compliment,n,++
compromis,n,+
concessie,n,-
concilieren,v,+
concreet,a,++
confidentieel,a,+
conflict,n,-
confrontatie,n,-
confronteren,v,-
confusie,n,-
confuus,a,--
congestie,n,-
connaisseur,n,++
consensus,n,+
conservatief,n,-
conservatisme,n,-
considerabel,a,+
consideratie,n,+
consistent,a,++
constellatie,n,-
consternatie,n,-
consumeren,v,-
contradictie,n,-
contradictoir,a,--
contrair,a,-
contribuant,n,+
contribueren,v,+
controverse,n,--
controversieel,a,+
convenientie,n,+
corporaal,n,-
corpulent,a,-
correct,a,++
correctheid,n,++
corrosie,n,-
corrupt,a,--
corruptie,n,--
coupe,soleil,n
coöperatie,n,+
coöperatief,a,++
coöpereren,v,++
crack,n,-
crazy,a,--
creatief,a,++
creationist,n,+
creativiteit,n,++
cremeren,v,-
criminaliteit,n,--
crimineel,n,--
crisis,n,--
criticaster,n,-
criticus,n,-
cryptisch,a,-
curator,n,-
cynisch,a,-
cynisme,n,--
daadkrachtig,a,++
dader,n,-
dagdief,n,-
dagdroom,n,+
dageraad,n,+
dakloze,n,-
daling,n,-
dame,n,+
dank,n,++
dankbaar,a,++
dankbaarheid,n,++
dapper,a,++
dapperheid,n,++
daveren,v,+
deal,n,++
debet,a,-
debiteur,n,-
deblokkeren,v,+
decadent,a,-
decadentie,n,--
decoratie,n,+
deelhebber,n,+
deerlijk,a,+
deern,n,-
deernis,n,-
deerniswekkend,a,--
defect,n,--
defectief,n,-
defensief,a,-
deficiënt,a,--
deficiëntie,n,--
degelijk,a,++
degelijkheid,n,++
degen,n,-
degeneratie,n,--
degoutant,a,-
degoûtant,a,--
degradatie,n,--
degraderen,v,--
deining,n,-
deknaam,n,-
deksels,a,--
deletie,n,-
delfstoffenkundige,n,+
delicatesse,n,++
delict,n,-
delinquent,n,--
delirium,n,--
deloyaal,a,-
democratisch,a,+
demonstreerbaar,a,+
demoraliserend,a,--
demotiverend,a,--
denderen,v,--
denderend,a,++
denkbaar,a,+
denker,n,+
depersonalisatie,n,--
deplorabel,a,--
depressie,n,--
depressief,a,--
depressiviteit,n,--
depri,a,--
deprimerend,a,--
derdehands,a,-
derderangs,a,--
deserteur,n,-
desillusie,n,--
desintegratie,n,--
desinteresse,n,--
deskundig,a,++
deskundige,n,++
deskundoloog,n,-
desorganisatie,n,--
despoot,n,?
despotisme,n,?
dessert,n,+
destabilisatie,n,--
destroyer,n,--
destructie,n,--
determinist,n,-
detestabel,a,?
deugd,n,++
deugddoend,a,++
deugdelijk,a,++
deviatie,n,-
devoot,a,+
devotie,n,+
dicht,a,-
dichterbij,b,+
dictator,n,--
dictatoriaal,a,--
dienstbaarheid,n,+
diep,a,-
dierenbeschermer,n,+
dijk,n,+
dik,n,-
dikdoener,n,-
dikhuidig,a,--
dikkerd,n,--
dikzak,n,--
dilemma,n,-
dilettanterig,a,-
discontinu,a,-
discontinuïteit,n,-
discordantie,n,-
discretie,n,+
discriminatie,n,--
discrimineren,v,--
discutabel,a,-
disharmonie,n,--
disparaat,a,--
disputabel,a,--
dissident,a,-
dissident,n,-
dissonant,n,-
dissonantie,n,--
divers,a,+
diverteren,v,-
dobberen,v,+
dode,n,-
dodelijk,a,--
doden,v,--
dodo,n,-
doelgericht,a,++
doelloos,a,--
doen,v,+
doener,n,+
doenlijk,a,++
dofheid,n,--
dol,n,+
dolblij,a,++
dolletjes,a,++
dom,n,--
dombo,n,--
domheid,n,--
dominantie,n,--
domkop,n,--
dommerik,n,--
dommigheid,n,--
domoor,n,--
dompelaar,n,--
donders,a,-
doneren,v,++
donker,a,-
donker,n,-
donkerte,n,-
dood,n,--
doodeenvoudig,a,--
doodgemakkelijk,a,-
doodhongeren,v,-
doodlachen,v,-
doodleuk,b,-
doodmoe,a,--
doods,a,--
doodsbang,a,--
doodsimpel,a,--
doodvermoeid,a,--
doodwerken,v,--
dooievisjesvreter,n,--
doorbijter,n,++
doorbraak,n,++
doordouwer,n,++
doordrammer,n,-
doordraver,n,--
doordrijver,n,-
doordringend,a,+
doorgang,n,+
doorgewinterd,a,++
doorkneed,a,-
doorkomen,v,-
doorliggen,v,-
doorsijpelen,v,--
doorslaan,v,--
doorslenteren,v,--
doorsnijden,v,-
doorstaan,v,+
doorstoten,v,+
doorstroming,n,+
doorsukkelen,v,--
doortastend,a,++
doortastendheid,n,++
doortraptheid,n,--
doorwerken,v,+
doorzetter,n,++
doorzettingsvermogen,n,++
doorzwoegen,v,+
dor,a,--
dove,n,-
doven,v,+
down,a,-
downloaden,v,-
draagkrachtig,a,++
draaglijk,a,+
draaien,v,-
draaikont,n,--
drab,n,--
drager,n,-
drain,n,?
drama,n,--
drammer,n,--
drastisch,a,-
dreigend,a,--
drein,n,-
dreiner,n,--
dreunen,v,-
dreutel,n,-
drevelen,v,-
drietonner,n,-
drift,n,-
driftig,a,-
drijven,v,+
drinker,n,-
droef,a,--
droefenis,n,--
droefgeestig,a,--
droefgeestigheid,n,--
droefheid,n,--
droevig,a,--
drogbeeld,n,-
drol,n,-
dromen,v,+
drommel,n,-
dronkaard,n,--
dronkelap,n,--
dronkeman,n,-
dronken,a,-
droog,a,-
droogpruim,n,--
droogte,n,--
droomland,n,+
drop-out,n,--
droplul,n,--
drugsmokkel,n,--
druilerig,a,--
druiloor,n,--
druk,a,-
drukdoenerig,a,--
druktemaker,n,--
druppels,n,-
dubbelzinnig,a,-
dubbelzinnigheid,n,-
dubieus,a,--
duf,a,--
duidelijk,a,+
duidelijkheid,n,+
duimen,v,-
duimzuiger,n,-
duister,a,--
duister,n,--
duisternis,n,-
duivelachtig,a,--
duivelin,n,--
duivels,a,--
duivelskunstenaar,n,--
duizelen,v,--
duizelig,a,-
dulden,v,-
dummy,n,--
dump,n,-
durf,n,+
durfal,n,++
duur,a,--
duur,n,--
duurzaamheid,n,++
dwaaltuin,n,-
dwaas,a,--
dwaas,n,--
dwaasheid,n,--
dwalen,v,-
dwang,n,--
dwangsom,n,--
dwars,a,--
dwarsbomen,v,--
dwarsdrijver,n,--
dwarsdrijverig,a,--
dwarskop,n,--
dwarsligger,n,--
dwarsliggerig,a,--
dweil,n,-
dwingelandij,n,--
dwingen,v,--
dynamisch,a,+
echec,n,-
echtscheiding,n,-
edel,a,++
edele,n,++
edelmoedig,a,++
eendvogel,n,--
eenheid,n,+
eenkennig,a,--
eenstemmigheid,n,+
eenvoud,n,+
eenvoudig,a,-
eenvoudigheid,n,+
eenzaam,a,-
eenzaamheid,n,-
eenzijdig,a,-
eer,n,++
eerbetoon,n,++
eerbied,n,++
eerbiedig,a,++
eerbiediging,n,++
eerbiedwaardig,a,++
eergevoel,n,++
eerlijk,a,++
eerlijkheid,n,++
eerroof,n,--
eersteklas,a,++
eersteklas,n,++
eersterangs,a,++
eervol,a,++
eerwaarde,n,++
eerwaardig,a,++
eeuwigheid,n,+
effectief,a,++
effectiviteit,n,+
efficiency,n,++
efficiënt,a,++
ego,n,-
egoist,n,--
egoïsme,n,--
egoïstisch,a,--
eigendunkelijk,a,-
eikel,n,--
eind,n,-
eindeloos,a,-
eitje,n,++
elan,n,?
elegance,n,++
elegant,a,++
elegantie,n,++
element,n,+
eliminatie,n,-
elimineren,v,--
elite,n,-
ellende,n,--
ellendeling,n,--
ellendig,a,--
eloquent,a,++
emanciperen,v,+
emotieloos,a,--
emotioneel,a,-
empathie,n,++
energie,n,+
energiekeling,n,++
energieloos,a,--
eng,a,-
engel,n,++
enigheid,n,+
enormiteit,n,+
entertainen,v,+
enthousiasme,n,++
enthousiasmeren,v,++
enthousiast,a,++
epidemie,n,-
erbarmelijk,a,+
erelid,n,++
erg,n,--
ergeren,v,-
ergerlijk,a,--
ergernis,n,--
erkenning,n,++
erkentelijkheid,n,+
ernstig,a,-
eropuitgaan,v,+
erosie,n,-
ervaren,a,+
ervaren,v,+
escapade,n,-
esthetisch,a,++
etnocentrisme,n,-
etter,n,--
etterbak,n,--
etterbuil,n,--
euforie,n,++
euforisch,a,++
euvel,n,-
evacueren,v,-
evenwaardig,a,++
evenwichtig,a,++
excellent,a,++
excellentie,n,+
excentriciteit,n,+
excentriek,a,+
excessief,a,-
excuus,n,-
exorbitant,a,?
exotisch,a,++
expatriëren,v,-
expert,n,++
extravagant,a,+
extravagantie,n,+
extreem,a,-
extremisme,n,--
ezel,n,-
ezelachtig,a,--
ezelachtigheid,n,--
ezelskop,n,--
ezelsveulen,n,--
faam,n,++
fabelachtig,a,++
fabrieksmerk,n,--
fabuleus,a,++
failliet,a,-
failliet,n,--
falangisme,n,--
fameus,a,++
fan,n,++
fanaticus,n,-
fanatiek,a,+
fanatisme,n,+
fanfare,n,+
fantasieloos,a,--
fantasievol,a,++
fantastisch,a,++
farce,n,--
fascinatie,n,+
fascineren,v,++
fascinerend,a,++
fascisme,n,--
fataal,a,--
fatsoen,n,++
fatsoenlijk,a,++
favorabel,a,++
favoriet,n,++
favoriete,n,++
feestneus,n,+
feestnummer,n,+
feeststemming,n,++
feestvierder,n,++
feestvieren,v,+
feilloos,a,++
feitelijk,a,+
fel,a,-
femme,fatale,n
fenomenaal,a,++
fervent,a,+
festival,n,+
fiasco,n,--
fiat,n,+
fiatteren,v,?
fibrositis,n,-
fier,a,+
fierheid,n,+
figuur,n,-
fijn,a,++
fijnmazig,a,+
fikken,v,-
filister,n,--
filmster,n,++
fingeren,v,-
flagrant,a,+
flair,n,++
flapdrol,n,--
flater,n,--
flatteren,v,+
flauw,a,--
flauwekul,n,--
flauwte,n,-
flessen,v,-
flets,a,--
fleuren,v,++
flexibel,a,+
flierefluiter,n,-
flikken,v,--
flink,a,++
flirt,n,+
flitsend,a,++
floreren,v,++
fluim,n,--
flut,a,--
fnuikend,a,-
fobie,n,-
foef,n,+
foefje,n,+
foetsie,n,-
folteraar,n,--
folteren,v,--
foltering,n,--
fond,n,+
formidabel,a,++
fors,a,+
fortuin,n,+
fout,n,--
foutief,a,--
foutloos,a,++
fraai,a,++
fractuur,n,-
fraude,n,--
frenetiek,a,-
frictie,n,-
frigide,a,-
fris,n,++
frivool,a,++
frons,n,-
frustratie,n,--
frustratoir,a,-
frustreren,v,--
frustrerend,a,--
frutselaar,n,--
fröbelen,v,-
fuifnummer,n,+
fulmineren,v,--
fundamentalisme,n,--
funest,a,-
furie,n,--
furieus,a,-
futloos,a,--
gabber,n,-
galant,n,++
galbak,n,-
galgebrok,n,-
galgenaas,n,-
gammel,a,--
gangmaker,n,++
gangsterliefje,n,-
gans,a,+
gapen,v,-
garantie,n,+
gastarbeider,n,-
gastvrouw,n,+
gat,n,-
geaffecteerd,a,++
geanimeerd,a,++
gearmd,a,+
gearresteerde,n,-
gebeuzel,n,--
gebiedsuitbreiding,n,-
geblokkeerd,a,-
gebrek,n,--
gebrekkig,a,--
gebruiker,n,-
geconcentreerd,a,++
gedaagde,n,--
gedagvaarde,n,-
gedeprimeerdheid,n,--
gederangeerd,a,-
gedesoriënteerd,a,-
gedetineerde,n,-
gedijen,v,+
gedistingeerd,a,+
gedoe,n,--
gedogen,v,-
gedonder,n,-
gedonderjaag,n,-
gedraging,n,-
gedrocht,n,--
geducht,a,-
geduld,n,+
geduldig,a,++
gedurig,a,+
geduvel,n,--
geest,n,+
geestdodend,a,--
geestdrift,n,++
geestdriftig,a,+
geesteszieke,n,--
geestig,a,++
geeuw,n,-
gefemel,n,-
geflipt,a,--
gefortuneerd,a,++
gefrustreerd,a,--
gegarandeerd,a,+
gegoed,a,++
gehakketak,n,--
gehaktbal,n,-
gehard,a,+
geheel,a,+
geheid,a,+
geheiligd,a,++
gehoorzaam,a,++
gehoorzaamheid,n,++
gehoorzamen,v,+
gehucht,n,-
geilpompen,v,--
gein,n,+
geitebreier,n,-
geitenbreier,n,-
gek,a,--
gek,n,--
gekakel,n,--
gekheid,n,-
gekibbel,n,--
gekkenpraat,n,--
gekkenwerk,n,--
geklap,n,+
geklets,n,--
geklier,n,--
gekromd,a,-
gekruid,a,+
gekte,n,--
gekwalificeerd,a,+
gekwek,n,--
geldafpersing,n,-
geldduivel,n,--
geldgod,n,-
geldig,a,+
geldwolf,n,--
geleerd,a,+
geleerde,n,++
gelegenheid,n,+
geleidewapen,n,-
geletterde,n,+
geliefde,n,++
gelijk,a,+
gelijk,n,+
gelijkheid,n,++
gelijkliggen,v,+
gelijkmatig,a,+
gelofte,n,+
geloof,n,+
geloofwaardig,a,++
geloven,v,+
geluidloos,a,++
geluk,n,++
gelukkig,a,++
gelukkige,n,++
geluksvogel,n,++
gelukzak,n,-
gelul,n,--
gemak,n,++
gemakkelijk,a,++
gematigd,a,-
gemenerik,n,--
gemoedelijkheid,n,++
gemoedsrust,n,+
gemotiveerd,a,++
genadeloos,a,--
genadig,a,++
geneesheer,n,++
genegenheid,n,++
geneuzel,n,--
genezen,a,++
genezen,v,++
genie,n,++
genieten,v,+
genocide,n,--
genoeg,a,++
genoegen,n,++
genoeglijk,a,++
genoeglijkheid,n,+
genot,n,++
genotzoeker,n,+
geoefend,a,+
geoefendheid,n,++
geoorloofd,a,++
geouwehoer,n,--
gepassioneerd,a,++
geprikkeldheid,n,--
geraaskal,n,--
gerechtigheid,n,++
gereed,a,+
gericht,a,++
geriefelijk,a,--
gerieven,v,--
gering,a,-
gerucht,n,-
geruchtmakend,a,-
geruisloos,a,+
geruststellen,v,+
geruststelling,n,++
gescheiden,a,-
geschelpt,a,+
geschift,a,--
geschil,n,-
geschillencommissie,n,-
geschuffeld,a,-
gesel,n,--
geselen,v,--
gesjochten,a,-
geslepenheid,n,--
gesmeerd,a,++
gesnedene,n,-
gespannen,a,-
gespecialiseerd,a,++
gespuis,n,--
gestoord,a,--
gestoorde,n,--
getalenteerd,a,++
getikt,a,--
