Word,Type,Sentiment
onervarenheid,n,-
onesthetisch,a,--
onethisch,a,--
onevenwicht,n,--
onevenwichtig,a,--
onfatsoenlijk,a,--
onfatsoenlijkheid,n,--
onfeilbaar,a,++
onfris,a,--
ongebroken,a,+
ongebruikelijk,a,-
ongecompliceerd,a,++
ongecoördineerd,a,--
ongedeerd,a,++
ongeduld,n,--
ongeduldig,a,--
ongedurig,a,-
ongedurigheid,n,-
ongefundeerd,a,+
ongegeneerd,a,--
ongegrond,a,--
ongehoorzaam,a,--
ongehoorzaamheid,n,--
ongekunsteldheid,n,++
ongekwalificeerd,a,--
ongeldig,a,--
ongelegen,a,--
ongelijkheid,n,-
ongelofelijk,a,-
ongeloof,n,-
ongelooflijk,a,-
ongelovig,a,--
ongeluk,n,--
ongeluksvogel,n,-
ongemak,n,--
ongemakkelijk,a,--
ongemanierd,a,--
ongemerkt,a,-
ongemotiveerd,a,--
ongenadig,a,-
ongenoegen,n,-
ongenoegzaam,a,--
ongeorganiseerd,a,--
ongepast,a,--
ongepastheid,n,--
ongepermitteerd,a,--
ongerechtigheid,n,--
ongerechtvaardigd,a,--
ongeregeld,a,--
ongeriefelijk,a,--
ongerijmdheid,n,+
ongerust,a,-
ongerustheid,n,-
ongeschikt,a,--
ongetraind,a,--
ongetwijfeld,a,+
ongeval,n,--
ongevallig,a,--
ongevoeglijk,a,--
ongevoelig,a,--
ongevoeligheid,n,--
ongewenst,a,--
ongewettigd,a,--
ongezellig,a,--
ongezond,a,--
ongrondwettig,a,--
ongunstig,a,--
onguur,a,--
onhaalbaar,a,-
onhandig,a,--
onhandigheid,n,--
onheil,n,--
onheilspellend,a,--
onherstelbaar,a,--
onhoffelijk,a,--
onhoudbaar,a,--
oningewijde,n,--
onintelligent,a,--
oninteressant,a,--
onjuist,a,--
onkuis,a,-
onkunde,n,--
onkwetsbaar,a,++
onlogisch,a,-
onmachtig,a,-
onmatig,a,--
onmeedogend,a,--
onmens,n,--
onmenselijkheid,n,--
onmin,n,--
onmisbaar,a,++
onmogelijk,a,--
onnatuurlijk,a,-
onnauwkeurig,a,--
onnauwkeurigheid,n,--
onnet,a,--
onnodig,a,--
onnozel,a,--
onnut,a,--
onomkoopbaar,a,++
onontkoombaar,a,-
onooglijk,a,--
onoorbaar,a,--
onoordeelkundig,a,--
onophoudelijk,a,-
onoprecht,a,--
onordelijk,a,--
onoverkomelijk,a,--
onoverwinnelijk,a,++
onpartijdig,a,++
onpartijdigheid,n,++
onpersoonlijk,a,--
onplezierig,a,--
onpraktisch,a,--
onprettig,a,--
onrealistisch,a,--
onrecht,n,-
onrechtmatig,a,--
onrechtmatigheid,n,--
onrechtvaardig,a,--
onrechtvaardigheid,n,--
onredelijk,a,--
onredelijkheid,n,--
onregelmatigheid,n,-
onrendabel,a,--
onrust,n,--
onrustbarend,a,--
onrustig,a,-
onruststoker,n,--
onrustzaaier,n,--
onsamenhangend,a,--
onsamenhangendheid,n,--
onschendbaar,a,++
onschuld,n,++
onschuldig,a,++
onsmakelijk,a,--
onsolide,a,-
onstabiel,a,--
onstandvastig,a,--
onstuimig,a,--
ontaarden,v,-
ontaarding,n,-
ontberen,v,-
ontberingen,n,-
ontbindbaar,a,--
ontbinding,n,-
ontbreken,v,-
ontdaan,a,-
ontdoen,v,-
ontduiken,v,--
onteigenen,v,-
onteigening,n,-
onterecht,a,--
onterend,a,--
ontevreden,a,--
ontevredenheid,n,--
ontgoocheld,a,--
ontheffen,v,+
onthouden,v,+
onthutst,a,--
ontkennen,v,--
ontketenen,v,-
ontmoedigen,v,-
ontmoedigend,a,--
ontoegankelijk,a,--
ontoelaatbaar,a,--
ontoereikend,a,--
ontoereikendheid,n,--
ontploffen,v,-
ontraden,v,-
ontrafelen,v,+
ontredderd,a,--
ontroerend,a,+
ontrouw,a,--
ontrouw,n,-
ontslaan,v,-
ontslag,n,-
ontsluiten,v,+
ontspannen,a,+
ontsteld,a,--
ontsteltenis,n,-
onttrekken,v,-
ontwapenen,v,+
ontwijken,v,-
ontwijkend,a,--
ontwijkend,v,-
ontwikkeling,n,++
ontwikkelingssamenwerking,n,+
ontwrichting,n,--
ontzag,n,+
ontzagwekkend,a,--
ontzeggen,v,--
ontzet,a,-
ontzet,n,--
ontzetten,v,-
ontzettend,a,--
ontzetting,n,--
ontzind,a,--
onuitwisbaar,a,++
onvakkundig,a,--
onveilig,a,--
onveiligheid,n,--
onverantwoord,a,--
onverantwoordelijk,a,--
onverbeterlijk,a,++
onverbiddelijk,a,--
onverdedigbaar,a,--
onverdroten,a,+
onverenigbaar,a,--
onverenigbaarheid,n,-
onvergeeflijk,a,--
onvergelijkbaar,a,+
onverhoeds,a,-
onverhoopt,a,--
onverlaat,n,--
onvermijdelijkheid,n,-
onvermogen,n,-
onvermurwbaar,a,++
onverschillig,a,--
onverschilligheid,n,--
onverschrokkenheid,n,+
onverstaanbaar,a,--
onverstandig,a,--
onvervreemdbaar,a,++
onverwoestbaar,a,++
onverzekerd,a,-
onverzettelijk,a,-
onverzorgd,a,--
onvoldoende,a,--
onvoldoende,n,--
onvolledig,a,-
onvoltooid,a,-
onvolwaardigheid,n,--
onvolwassen,a,--
onvoorbereid,a,--
onvoordelig,a,--
onvoorspelbaar,a,-
onvoorstelbaar,a,+
onvoorzichtig,a,--
onvoorzien,a,-
onvrede,n,--
onvriendelijk,a,--
onvrijwillig,a,-
onvruchtbaar,a,-
onwaar,a,--
onwaardig,a,--
onwaarschijnlijk,a,-
onwaarschijnlijkheid,n,--
onwankelbaar,a,++
onweerlegbaar,a,++
onweerstaanbaar,a,++
onwelgevallig,a,-
onwelkom,a,-
onwelriekend,a,--
onwelvoeglijkheid,n,-
onwenselijk,a,--
onwerkbaar,a,--
onwetend,a,-
onwetendheid,n,--
onwettig,a,--
onwijs,a,++
onwil,n,-
onwillig,a,-
onwrikbaar,a,-
onzalig,a,--
onzedelijk,a,--
onzedig,a,--
onzeker,a,--
onzelfzuchtig,a,++
onzin,n,--
onzuiver,a,--
oomzegger,n,-
oomzegster,n,-
oord,n,-
oordeelkundig,a,+
oorlog,n,-
oorlogsjaar,n,-
oorlogskerkhof,n,--
oorspronkelijkheid,n,++
opbouw,n,+
opbreken,v,-
opdonder,n,--
opdonderen,v,--
opdondertje,n,+
opdraven,v,-
opduvelen,v,--
open,a,+
openbaring,n,++
openblijven,v,++
openhartigheid,n,+
openheid,n,+
openlijk,a,+
opfleuren,v,+
opflikkeren,v,--
opgeblazen,a,-
opgejaagd,a,--
opgejaagdheid,n,--
opgelaten,a,--
opgelucht,a,++
opgewonden,a,+
ophef,n,-
opheffing,n,-
ophemelen,v,+
ophikken,v,-
ophitsen,v,--
ophoepelen,v,--
ophoesten,v,-
opinie,n,+
opkomen,v,+
opkramen,v,-
opkrassen,v,--
opladen,v,+
oplazeren,v,--
oplebberen,v,--
opleggen,v,--
oplepelen,v,-
opmerkelijk,a,+
opmieteren,v,--
opnemen,v,+
opperbest,a,++
oppervlakkig,a,--
oppervlakkigheid,n,-
opportunisme,n,+
opportuun,a,+
oppressie,n,--
oprechtheid,n,+
oprichter,n,+
oproer,n,-
oproerkraaier,n,--
oprotten,v,--
opruier,n,--
oprukken,v,+
opscheppen,v,-
opschepper,n,--
opschorten,v,-
opschudding,n,--
opslobberen,v,--
opsluiten,v,-
opsnijder,n,--
opsodemieteren,v,--
opstand,n,-
opstandig,a,-
opstap,n,+
opstapje,n,+
opstappen,v,-
optater,n,--
optimaal,a,++
optimisme,n,++
optimistisch,a,++
optrekje,n,+
opvallend,a,+
opwachten,v,-
opwinden,v,-
opwindend,a,++
opwinding,n,+
opzuipen,v,-
oranje,n,+
ordelijk,a,++
ordelijkheid,n,++
ordeloos,a,--
ordeloosheid,n,--
originaliteit,n,+
origineel,a,++
origineel,n,++
ostensibel,a,-
oubollig,a,--
ouderen,n,-
oudje,n,-
oudwijf,n,--
outcast,n,--
ouwehoeren,v,--
ovatie,n,++
overbemesting,n,-
overbluffen,v,-
overbodig,a,--
overdonderen,v,-
overdone,a,--
overdreven,a,--
overdrijven,v,--
overdrijving,n,--
overduidelijk,a,+
overeenkomst,n,+
overeenstemming,n,++
overgaan,v,+
overgelukkig,a,--
overgeven,v,-
overgevoelig,a,--
overhalen,v,+
overhandigen,v,+
overheersing,n,--
overkill,n,--
overkomen,v,-
overlast,n,--
overleven,v,+
overleveren,v,-
overlevingspensioen,n,-
overmannen,v,-
overmatig,a,--
overmeesteren,v,+
overreden,v,+
overrompelen,v,-
overrulen,v,-
overschaduwen,v,+
overschatting,n,-
overschot,n,+
overschrijding,n,--
oversized,a,-
overstelpen,v,-
overstroming,n,--
overtreder,n,--
overtreding,n,-
overtreffen,v,++
overtrokken,a,-
overtuigen,v,+
overtuigend,a,++
overtuiging,n,++
overvloed,n,++
overvloedig,a,++
overvloeiing,n,-
overwaaien,v,-
overweldigen,v,++
overwerken,v,-
overwerkt,a,--
overwicht,n,-
overwinnaar,n,++
overwinnen,v,++
overwinning,n,++
paardelul,n,--
paardenlul,n,--
paasdrukte,n,-
pacifist,n,-
pafzak,n,--
paljas,n,-
paniek,n,--
paniekerig,a,--
paniekzaaier,n,--
panorama,n,+
pappen,v,--
papperig,a,--
papzak,n,--
paradoxaal,a,-
paranoia,n,--
paranoïde,a,--
parapsycholoog,n,-
parasiet,n,--
paria,n,--
parkeerbon,n,-
parodie,n,-
partijdig,a,--
partijdigheid,n,--
partner,n,+
passen,v,+
passend,a,++
passie,n,++
passiviteit,n,-
patent,n,+
patiënt,n,-
patjakker,n,--
patjepeeer,n,?
patricisch,a,-
patsen,v,--
patser,n,--
patstelling,n,--
pauper,n,--
pauweveer,n,+
peacekeeper,n,++
pech,n,--
pechvogel,n,--
pedant,a,--
pedanterik,n,?
pederast,n,-
pedo,n,--
penthouse,n,+
peperduur,a,--
perfect,a,++
perfectie,n,++
perfectionistisch,a,+
perfide,a,?
perkeloos,a,++
permitteren,v,+
perplex,a,-
persen,v,-
perseveratie,n,-
persoonlijkheid,n,+
pervers,a,--
perversie,n,--
perversiteit,n,--
pessimisme,n,-
pessimistisch,a,--
pest,n,-
pesten,v,-
pesticide,n,-
pestilent,a,-
peuteraar,n,--
pezewever,n,--
pias,n,?
pief,n,-
piekfijn,a,++
piepen,v,-
pieremachochel,n,-
pierewaaier,n,-
pierewiet,n,--
pieteit,n,+
pietepeuter,n,--
pietepeuteraar,n,--
pieterig,a,--
pietjesneuker,n,--
pietlut,n,--
pijler,n,+
pijn,n,--
pijnbank,n,--
pijnigen,v,--
pijnlijk,a,--
pijnloos,a,+
pijnpunt,n,--
pijpenla,n,-
pillendraaier,n,-
pionieren,v,+
pis,n,-
pisnijdig,a,--
pissig,a,--
pit,n,+
pitloos,a,--
pittig,a,+
plaag,n,--
plaatje,n,+
placide,a,+
plagen,v,--
plakken,v,-
platenbijbel,n,+
platgaan,v,-
platgeschoren,a,-
platheid,n,-
platliggen,v,-
plausibel,a,++
plebejer,n,--
pleger,n,--
pleitbezorger,n,-
pleite,a,-
pleiter,n,-
pleura,n,-
pleurislijder,n,--
plezant,a,++
plezier,n,++
plezierig,a,++
ploert,n,--
ploeteren,v,-
plomperd,n,--
plooibaarheid,n,+
pluche,n,-
pluim,n,++
pluimen,v,+
pluimpje,n,+
plunderen,v,-
plundering,n,--
plurk,n,--
pluspool,n,+
pochen,v,--
pocher,n,--
pochhans,n,--
poeha,n,--
poehamaker,n,--
poeperd,n,+
poespas,n,--
poetslap,n,-
pokkenlijder,n,--
pokkenlijer,n,--
pokkenvent,n,--
polarisatie,n,--
polemiseren,v,--
pooier,n,--
poppenkast,n,-
populair,a,++
populariteit,n,++
positief,n,++
poten,n,--
potent,a,+
potentaat,n,--
potentie,n,++
potschrap(p)er,n,-
potschraper,n,-
potsierlijkheid,n,--
pottenkijker,n,--
poëtisch,a,++
praal,n,+
praalhans,n,--
praatjesmaker,n,--
pracht,n,++
prachtig,a,++
prachtstuk,n,++
practicus,n,+
pragmaticus,n,+
pragmatisch,a,+
precisie,n,++
predispositie,n,-
preken,v,-
premie,n,+
pressie,n,-
presteren,v,+
prestige,n,+
prestigieus,a,++
pret,n,+
pretentie,n,-
pretentieus,a,-
pretmaker,n,+
prettig,a,++
prevelen,v,-
prijs,n,++
prijselijk,a,++
prijswinnaar,n,++
prijzenswaard,a,++
prijzenswaardig,a,++
prijzig,a,--
prikkelen,v,+
prima,a,++
primitief,n,-
principaal,n,+
privilege,n,+
pro,n,+
probleem,n,--
probleemloos,a,++
problematisch,a,--
productie,n,+
productief,a,++
produktief,a,++
proefkonijn,n,-
proesten,v,++
prof,n,++
professional,n,++
profijtelijk,a,++
profitabel,a,+
profiteur,n,--
proleet,n,-
prominent,n,+
prominentie,n,+
promotor,n,+
prompt,a,+
prompt,n,+
pronkziek,a,--
pronkzuchtig,a,--
propaganda,n,-
propositie,n,+
propriëteit,n,+
prosperiteit,n,++
prostituant,n,-
protectionist,n,-
protest,n,-
protser,n,-
provocateur,n,-
provocatie,n,-
provoceren,v,-
prulleboel,n,--
prullenboel,n,--
prut,a,--
pruts,n,--
prutsen,v,--
prutser,n,--
puik,a,++
puinhoop,n,--
pulverig,a,-
pummel,n,--
puntgaaf,a,++
quatsch,n,--
quoteren,v,-
raadgever,n,+
raadselachtig,a,-
raadzaam,a,++
raak,a,++
raar,a,--
raaskallen,v,--
rabiaat,a,?
racisme,n,-
racistisch,a,--
raddraaier,n,--
radicaal,a,--
radicaal,n,--
radicalisering,n,--
raffinement,n,-
raffineren,v,+
rage,n,-
raisonnabel,a,++
raken,v,-
raketwerper,n,-
ram,n,-
rammen,v,-
ramp,n,--
rampspoed,n,--
rampspoedig,a,-
rampzalig,a,--
randinzinking,n,--
rap,n,+
rare,n,--
raspaardje,n,++
rasploert,n,--
rat,n,-
ratelen,v,-
rationaliseren,v,+
rationaliteit,n,+
rationeel,a,++
raudauwer,n,+
ravage,n,--
ravijn,n,-
razen,v,-
razend,a,--
razernij,n,--
realiseerbaar,a,+
realiseren,v,+
realisering,n,+
realist,n,++
realistisch,a,+
rebels,a,--
recalcitrant,a,?
recessie,n,--
recht,a,+
recht,n,+
rechtbreien,v,-
rechten,n,+
rechter,a,+
rechter,n,+
rechterlijk,a,+
rechtlijnig,a,+
rechtmatig,a,++
rechtop,b,+
rechtskundige,n,+
rechtvaardig,a,++
rechtvaardigen,v,+
rechtvaardigheid,n,++
reconcilieren,v,?
rectificatie,n,-
rectificeren,v,-
reddingsploeg,n,+
rede,n,+
redelijk,a,++
redundant,a,-
redundantie,n,--
referent,n,+
refractair,a,?
regelaar,n,+
regentenkamer,n,-
regressie,n,-
rehabiliteren,v,++
rein,a,++
reinigen,v,+
reischeque,n,+
relaxen,v,+
relevant,a,++
relevantie,n,+
rellen,v,-
remming,n,-
rendabel,a,+
rendabiliteit,n,+
renommee,n,+
renonceren,v,-
renovatie,n,+
renoveren,v,+
rentabiliteit,n,+
rentenieren,v,+
repareren,v,++
representant,n,+
repressie,n,--
reprimande,n,--
reprobatie,n,-
repulsie,n,--
respect,n,++
respectabel,a,++
respectvol,a,++
respijt,n,-
restant,n,-
restauratie,n,+
retoriek,n,-
retraite,n,+
reumatiek,n,-
reusachtig,a,+
reuze,a,++
reuze-,a,++
reuzekerel,n,++
reuzenkerel,n,+
revalidatie,n,+
revalueren,v,+
revitaliseren,v,++
revival,n,+
ridder,n,+
ridderlijkheid,n,++
ridicuul,a,-
riemslag,n,--
rigide,a,-
rijk,n,++
rijkaard,n,-
rijkdom,n,+
rijkdommen,n,++
rijke,n,++
rijkelijk,a,++
rijp,n,+
rillen,v,-
rinkelrooier,n,--
riool,n,-
ris,n,-
risico,n,-
riskant,a,-
rivaal,n,-
rivaliteit,n,-
riviergod,n,+
roddelen,v,--
roekeloos,a,--
roekeloosheid,n,--
roep,n,+
roerend,a,++
roerig,a,-
roerigheid,n,--
roes,n,-
roestvrij,a,+
romannetje,n,-
romantisch,a,++
rommel,n,--
rommelen,v,-
rommelig,a,-
rommelzooi,n,--
rondspoken,v,-
rondvaart,n,+
rookgordijn,n,-
rooklucht,n,--
rot,a,--
rot,n,--
rotsvast,a,+
rottig,a,--
rottigheid,n,--
rotzak,n,--
rotzooi,n,--
rotzooien,v,--
routineus,a,-
rouwdienst,n,--
rouwdouw,n,-
rouwdouwer,n,-
rouwen,v,--
rouwkapel,n,-
royalist,n,++
rozegeur,n,++
ruig,a,-
ruim,n,+
ruiterlijk,a,+
ruk,n,-
rukken,v,--
rund,n,-
ruptuur,n,-
rust,n,++
rusteloos,a,--
rusteloosheid,n,--
ruw,a,--
ruwheid,n,--
ruzie,n,-
ruïne,n,-
s.s.,n,-
saai,n,--
saamhorigheid,n,+
saamhorigheidsgevoel,n,++
sabotage,n,--
saboteur,n,--
sacherijn,n,--
sacraal,a,+
sacrosanct,a,-
samen,b,+
samenleven,v,+
samenspannen,v,--
samenwerken,v,+
samenwerking,n,+
samenzwering,n,--
sanctie,n,--
sanctioneren,v,--
sappelen,v,-
sarcasme,n,--
sarcastisch,a,-
sardonisch,a,-
satan,n,--
satanisme,n,--
scabreus,a,?
scalperen,v,--
sceptisch,a,--
schaamteloos,a,-
schaapskop,n,--
schaarste,n,-
schade,n,-
schadelijk,a,-
schadestatistiek,n,-
schadevergoeding,n,-
schaduw,n,-
schaduwkant,n,-
schaduwminister,n,-
schaduwzijde,n,-
schampen,v,-
schandaal,n,--
schandalig,a,--
schande,n,--
schandelijk,a,--
schandpaal,n,--
schandvlek,n,--
schappelijk,a,++
scharrelvlees,n,-
schat,n,+
schateren,v,+
schaterlachen,v,+
schattebout,n,++
schattig,a,++
scheet,n,-
scheiden,v,-
scheldwoord,n,-
schellen,v,-
schenden,v,--
schender,n,-
schending,n,--
schenken,v,+
scheren,v,-
scherp,a,++
scherp,n,++
scherpslijper,n,-
schertsvertoning,n,--
scheurklep,n,-
schichtig,a,-
schieten,v,--
schijn,n,+
schijnheilige,n,--
schijnheiligheid,n,--
schijnproces,n,--
schijntje,n,+
schijtebroek,n,--
schijter,n,--
schijterd,n,--
schijthuis,n,--
schijtlaars,n,--
schijtlijster,n,--
schijtluis,n,--
schik,n,++
schimmig,a,--
schimp,n,--
schipbreuk,n,-
schitteren,v,++
schittering,n,++
schlemiel,n,--
schlemielig,a,--
schobben,v,-
schoft,n,--
schokken,v,-
schokkend,a,--
schone,n,++
schooier,n,--
schoolkameraad,n,+
schoolkennis,n,+
schoon,n,+
schoonheid,n,++
schoonheidskoningin,n,+
schoonschrijver,n,+
schoorvoetend,a,-
schorten,v,--
schraal,a,--
schrander,a,-
schraper,n,-
schreeuwen,v,-
schreeuwer,n,--
schriel,a,-
schrik,n,-
schrikkelijk,a,--
schril,a,-
schromelijk,a,--
schromen,v,-
schuchter,a,-
schuinsmarcheerder,n,--
schuld,n,-
schuldeiser,n,--
schuldenaar,n,--
schuldenlast,n,-
schuldgevoel,n,--
schuldig,a,--
schuldige,n,--
schunnig,a,--
schunnigheid,n,--
schurk,n,--
schuw,a,--
scrupules,n,--
secessie,n,-
secundair,a,-
sekreet,n,--
semi-ambtenaar,n,--
sensatie,n,++
sensationeel,a,++
sensibel,a,+
sensitief,a,+
sentimentaliteit,n,-
sentimenteel,a,-
sereniteit,n,++
serpent,n,--
service,n,+
sexy,a,++
sfeerloos,a,--
sfeervol,a,++
sferisch,a,+
shabby,a,--
shit,a,--
shock,n,--
shot,n,-
showbink,n,++
showkikker,n,+
showman,n,+
sierlijk,a,++
sierlijkheid,n,++
siersel,n,+
significantie,n,+
simpel,a,-
simplistisch,a,-
simuleren,v,-
sinaasappelhuid,n,-
sint,n,+
sip,a,--
sjeu,n,-
sjijk,a,+
sjofelaar,n,--
sjorren,v,--
slaaf,n,-
slaan,v,-
slaapkop,n,--
slaaplucht,n,--
slaapverwekkend,a,--
slaatje,n,+
slachten,v,-
slagen,v,++
slagvaardig,a,++
slagveld,n,--
slampamper,n,--
slang,n,-
slank,a,++
slap,a,--
slapjes,a,--
slavin,n,--
slavink,n,--
slavist,n,-
slecht,a,--
slechter,a,--
slechterik,n,--
sleets,a,-
sleutelfiguur,n,+
slijm,n,-
slikken,v,-
slim,a,++
slimmerik,n,++
slimmigheid,n,++
slimmigheidje,n,+
slingeren,v,-
slobberig,a,--
sloeber,n,--
slopen,v,--
slordig,a,--
sluipweg,n,-
sluiten,v,-
sluitend,a,+
slurpen,v,+
sluw,a,+
sluwheid,n,++
smaad,n,--
smachten,v,-
smaden,v,-
smakken,v,-
smart,n,--
smartengeld,n,--
smeerkees,n,--
smeerlap,n,--
smeerpijp,n,--
smeerpoes,n,--
smeerpoets,n,--
smerig,a,--
smerigheid,n,--
smet,n,--
smeuïg,a,++
smiecht,n,--
smiespelen,v,--
smoelentrekker,n,-
smoezelen,v,--
smoezen,v,-
smoken,v,-
smoren,v,--
snappen,v,+
snateren,v,-
snauwen,v,--
snel,a,++
sneren,v,--
snert,n,-
sneu,a,--
snibben,v,-
snijden,v,-
snit,n,+
snoeihard,a,+
snoepen,v,-
snoepgoed,n,+
snoeven,v,--
snoever,n,--
snol,n,--
snoodaard,n,--
snotneus,n,-
snuiter,n,--
sober,a,-
soepel,a,++
soepzootje,n,--
soesa,n,-
sof,n,-
soft,a,-
solidariteit,n,++
solide,a,++
soliditeit,n,++
somber,a,--
somberheid,n,--
somberte,n,--
souplesse,n,++
spaarzaam,a,+
spaarzaamheid,n,+
spannend,a,+
spanning,n,+
sparen,v,+
specialist,n,+
spectaculair,a,++
speelbal,n,--
speels,a,++
spel,n,+
spelenderwijs,b,++
spetter,n,+
speurhond,n,+
speurtocht,n,-
spichtig,a,+
spijkerhard,a,+
spijtig,a,--
spil,n,+
spinnijdig,a,-
spitsboef,n,--
spitsvondig,a,++
spook,n,-
spooksel,n,-
sportief,a,++
spot,n,--
sprietig,a,--
spuiter,n,-
staak,n,-
stabiel,a,++
stabiliseren,v,+
stabiliteit,n,+
stagnatie,n,--
stagneren,v,--
staking,n,-
stakingbreker,n,-
stakker,n,--
stakkerig,a,--
stalen,v,-
stamelen,v,--
stampei,n,--
standje,n,-
standvastig,a,++
standvastigheid,n,+
stank,n,--
stapelzot,a,--
star,a,--
steek,n,-
steengoed,n,++
steenkoud,a,--
stelen,v,-
stellingname,n,+
stemmingmaker,n,++
stennes,n,--
stennis,n,--
ster,n,+
stereotype,n,--
sterfgeval,n,--
sterk,a,++
sterken,v,+
sterkte,n,+
stervende,n,--
steun,n,++
stevig,a,++
stichten,v,-
stichter,n,+
stigma,n,--
stigmatiseren,v,--
stijfhoofdig,a,--
stijfkop,n,--
stijfkoppig,a,--
stijlvol,a,++
stijve,n,--
stilliggen,v,-
stilstand,n,-
stimulans,n,++
stimuleren,v,+
stinken,v,--
stinkend,a,--
stinker,n,--
stinkerd,n,--
stoer,a,++
stoethaspel,n,--
stoethaspelig,a,-
stoken,v,-
stoker,n,--
stokkerig,a,--
stom,a,--
stomkop,n,--
stommeling,n,--
stommerd,n,--
stommerik,n,--
stommigheid,n,--
stommiteit,n,--
stomp,a,-
stomp,n,-
stompje,n,+
stomverbaasd,a,-
stoornis,n,--
stoot,n,+
stoottroepen,n,-
stopzetting,n,-
storen,v,-
storend,a,--
storm,n,-
straatloper,n,-
straatroof,n,-
straatschender,n,--
straf,a,--
straf,n,-
strafbal,n,-
straight,a,+
strak,a,+
stram,a,-
stranddief,n,--
streber,n,--
strengheid,n,-
stress,n,-
streven,n,++
strijdbaar,a,++
strijden,v,-
strijder,n,++
strijdig,a,++
strijdigheid,n,+
strijdvaardigheid,n,++
strikt,a,-
stront,n,-
stroomstoot,n,-
strubbeling,n,-
strubbelingen,n,--
struikelblok,n,-
struikelen,v,-
struikelsteen,n,-
stuf,n,-
stuiten,v,-
stuitend,a,--
stuk,n,-
stumper,n,--
stumperig,a,--
stunt,n,-
stuntel,n,--
stuntelaar,n,--
stuntelig,a,--
stupiditeit,n,--
subliem,a,++
subsidioloog,n,-
succes,n,++
suf,a,--
sufferd,n,--
sufkont,n,--
sufkop,n,--
suggereren,v,+
suggestibel,a,-
suizelen,v,--
sukkel,n,--
sukkelig,a,--
sulligheid,n,--
super,n,++
super-de-luxe,a,++
superbe,a,++
superieur,a,++
superioriteit,n,++
superpositie,n,++
supersonisch,a,++
superstar,n,++
supporter,n,-
supprimeren,v,-
suprematie,n,+
suspect,a,--
suspicie,n,--
sympathie,n,++
sympathiek,a,++
syndroom,n,-
synergie,n,+
synoptisch,a,+
taaiheid,n,+
taart,n,+
taboe,n,--
tact,n,++
talent,n,++
talentvol,a,++
tamtam,n,-
tante,n,-
tastbaar,a,+
tateren,v,--
techneut,n,+
tederheid,n,++
teef,n,--
tegen,a,--
tegendraads,a,-
tegenslag,n,-
tegenspoed,n,--
tegenspreken,v,-
tegenstaan,v,-
tegenstand,n,--
tegenstander,n,-
tegenstrever,n,--
tegenstrijdig,a,--
tegenstrijdigheid,n,-
tegenvaller,n,--
tegenzin,n,-
teisteren,v,--
tekort,n,--
tekortkoming,n,--
teleurgesteld,a,--
teleurstellen,v,--
teleurstellend,a,--
teleurstelling,n,--
teloorgang,n,--
tenger,a,--
terecht,a,+
terechtwijzing,n,--
teringlijder,n,--
teringzooi,n,--
terreur,n,--
terroriseren,v,--
terrorisme,n,--
terugdoen,v,+
teruggetrokken,a,-
teruggetrokkenheid,n,-
teruggeven,v,+
terughoudendheid,n,-
terugvorderen,v,-
tetteren,v,--
tevergeefs,a,--
tevredenheid,n,++
tewerkgestelde,n,-
theocraat,n,-
tij,n,-
tikgeit,n,-
timide,a,-
tingelen,v,-
tippen,v,+
tirade,n,--
tiran,n,--
tirannie,n,--
titelhouder,n,++
toe-eigening,n,-
toebedelen,v,+
toebrengen,v,-
toegankelijk,a,++
toegefelijk,a,+
toegeven,v,+
toegewijd,a,++
toejuiching,n,++
toekennen,v,++
toekomstdenker,n,+
toelaten,v,+
toelating,n,++
toenadering,n,+
toereiken,v,+
toeschuiven,v,-
toestaan,v,+
toestand,n,-
toestemming,n,+
toevertrouwen,v,+
toevlucht,n,+
toewijding,n,++
tolerant,a,++
tolerantie,n,++
tolereren,v,++
toneelspel,n,-
toorn,n,--
top,n,++
topman,n,++
topper,n,++
tormenteren,v,--
tornen,v,-
totaal,a,+
totaliteit,n,++
totebel,n,--
totstandbrenging,n,+
totstandkoming,n,+
tovenares,n,+
traag,a,--
trachten,v,+
tragedie,n,--
tragikomisch,a,-
tragisch,a,--
trammelant,n,--
tramp,n,-
transvestiet,n,-
trauma,n,--
treffend,a,++
trek,n,-
trekken,v,-
tremor,n,-
trendy,a,++
treuren,v,-
treurig,a,--
treurigheid,n,--
treurnis,n,--
treurspel,n,--
trick,n,+
trien,n,--
triest,a,--
triestheid,n,-
triestig,a,--
triomf,n,++
triomfantelijk,a,+
triomfator,n,+
troel,n,--
troela,n,--
troep,n,-
troetelkind,n,++
troost,n,+
trots,a,++
trots,n,+
trotseren,v,++
trouw,a,++
trouw,n,+
trouweloos,a,--
truc,n,--
trucfilm,n,-
truttebol,n,--
tuchtcommissie,n,-
tuinieren,v,+
tumult,n,--
tureluurs,a,--
tut,n,--
tuttebel,n,--
tweederangs,a,-
tweeslachtig,a,-
tweeslachtigheid,n,-
twijfel,n,+
twijfelachtig,a,--
twist,n,-
twistgesprek,n,--
tyfuslijer,n,--
type,n,-
uilebal,n,--
uilenbal,n,--
uilskuiken,n,--
uitbarsting,n,-
uitblinker,n,++
uitblussen,v,-
uitbraak,n,--
uitbreidingsmogelijkheid,n,+
uitbrengen,v,+
uitbuiting,n,--
uitbundigheid,n,++
uitdaging,n,+
uitdelen,v,+
uitdoven,v,-
uiteenspringen,v,-
uiteindelijk,a,+
uiterst,a,+
uitgehongerd,a,--
uitgekiend,a,+
